relative_timestamp,src_ip,dst_ip,src_port,dst_port,length,is_malicious
1.003018856048584,10.193.107.99,17.57.144.38,57373,5223,84,1
1.0030639171600342,17.57.144.38,10.193.107.99,5223,57373,131,1
1.0030968189239502,10.193.107.99,17.57.144.38,57373,5223,52,1
1.003138780593872,10.193.107.99,17.57.144.38,57373,5223,84,1
1.0032179355621338,17.248.201.69,10.193.107.99,443,57901,1290,1
1.0032727718353271,17.248.201.69,10.193.107.99,443,57901,447,1
1.0033068656921387,10.193.107.99,17.248.201.69,57901,443,52,1
1.0033438205718994,17.57.144.38,10.193.107.99,5223,57373,159,1
1.003377914428711,10.193.107.99,17.57.144.38,57373,5223,52,1
1.0034098625183105,10.193.107.99,17.57.144.38,57373,5223,84,1
1.0034399032592773,17.57.144.38,10.193.107.99,5223,57373,52,1
1.0034759044647217,17.57.144.38,10.193.107.99,5223,57373,131,1
1.0035068988800049,10.193.107.99,17.57.144.38,57373,5223,52,1
1.0035419464111328,17.57.144.38,10.193.107.99,5223,57373,159,1
1.0035738945007324,10.193.107.99,17.57.144.38,57373,5223,52,1
1.0036067962646484,10.193.107.99,17.57.144.38,57373,5223,84,1
1.0036389827728271,10.193.107.99,17.57.144.38,57373,5223,84,1
1.0036699771881104,17.57.144.38,10.193.107.99,5223,57373,52,1
1.0040957927703857,10.193.107.99,17.248.201.69,57902,443,64,1
1.0041399002075195,10.193.107.99,17.248.201.69,57903,443,64,1
1.0041728019714355,17.248.201.69,10.193.107.99,443,57902,60,1
1.0042028427124023,10.193.107.99,17.248.201.69,57902,443,52,1
1.0042588710784912,10.193.107.99,17.248.201.69,57902,443,569,1
1.0043277740478516,10.193.107.99,17.248.201.69,57901,443,1169,1
1.004403829574585,10.193.107.99,17.248.201.69,57901,443,1290,1
1.0044379234313965,10.193.107.99,17.248.201.69,57901,443,70,1
1.0044679641723633,10.193.107.99,17.248.201.69,57904,443,64,1
1.0044989585876465,17.248.201.69,10.193.107.99,443,57903,60,1
1.0045278072357178,17.248.201.69,10.193.107.99,443,57902,52,1
1.0045650005340576,10.193.107.99,17.248.201.69,57903,443,52,1
1.0046148300170898,10.193.107.99,17.248.201.69,57903,443,569,1
1.0046849250793457,17.248.201.69,10.193.107.99,443,57902,1290,1
1.0047578811645508,17.248.201.69,10.193.107.99,443,57902,1290,1
1.0048258304595947,17.248.201.69,10.193.107.99,443,57902,1290,1
1.0048789978027344,10.193.107.99,17.248.201.69,57905,443,64,1
1.0051357746124268,17.248.201.69,10.193.107.99,443,57902,434,1
1.0054118633270264,17.248.201.69,10.193.107.99,443,57902,1290,1
1.005523920059204,17.248.201.69,10.193.107.99,443,57902,733,1
1.0055689811706543,10.193.107.99,17.248.201.69,57902,443,52,1
1.0056219100952148,10.193.107.99,17.248.201.69,57902,443,52,1
1.0056569576263428,10.193.107.99,17.248.201.69,57902,443,52,1
1.005687952041626,17.248.201.69,10.193.107.99,443,57901,52,1
1.0057518482208252,17.248.201.69,10.193.107.99,443,57901,52,1
1.0057909488677979,17.248.201.69,10.193.107.99,443,57904,60,1
1.0058238506317139,10.193.107.99,17.248.201.69,57904,443,52,1
