src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,is_malicious
17.248.200.67,192.168.0.194,443,51252,1500,6.580352783203125e-05,658.9,0
17.248.200.67,192.168.0.194,443,51252,855,4.9114227294921875e-05,739.2,0
17.248.200.67,192.168.0.194,443,51252,855,0.00010204315185546875,818.7,0
17.248.200.67,192.168.0.194,443,51251,1500,5.793571472167969e-05,963.5,0
17.248.200.67,192.168.0.194,443,51251,237,3.504753112792969e-05,930.3,0
192.168.0.194,17.248.200.67,51252,443,52,2.384185791015625e-05,930.3,0
192.168.0.194,17.248.200.67,51252,443,64,2.3126602172851562e-05,931.5,0
192.168.0.194,17.248.200.67,51252,443,52,2.193450927734375e-05,786.7,0
192.168.0.194,17.248.200.67,51251,443,52,2.193450927734375e-05,641.9,0
17.248.200.67,192.168.0.194,443,51251,237,2.7179718017578125e-05,540.4,0
192.168.0.194,17.248.200.67,51251,443,64,2.5033950805664062e-05,396.8,0
192.168.0.194,17.248.200.67,51252,443,145,0.0001728534698486328,325.8,0
17.248.200.67,192.168.0.194,443,51252,103,1.002324104309082,250.6,0
192.168.0.194,17.248.200.67,51252,443,52,4.482269287109375e-05,105.8,0
192.168.0.194,17.248.200.67,51252,443,1158,6.413459777832031e-05,197.9,0
192.168.0.194,17.248.200.67,51252,443,1143,5.1975250244140625e-05,307.0,0
17.248.200.67,192.168.0.194,443,51252,52,3.2901763916015625e-05,305.8,0
17.248.200.67,192.168.0.194,443,51252,1500,5.817413330078125e-05,450.6,0
17.248.200.67,192.168.0.194,443,51252,237,3.2901763916015625e-05,469.1,0
192.168.0.194,17.248.200.67,51252,443,52,2.8133392333984375e-05,450.6,0
192.168.0.194,17.248.200.67,51251,443,1169,0.0001709461212158203,561.1,0
192.168.0.194,17.248.200.67,51251,443,1311,0.00027489662170410156,677.7,0
192.168.0.194,17.248.200.67,51252,443,1171,4.100799560546875e-05,784.5,0
192.168.0.194,17.248.200.67,51252,443,1419,4.100799560546875e-05,921.2,0
192.168.0.194,17.248.200.67,51253,443,64,2.09808349609375e-05,811.8,0
17.248.200.67,192.168.0.194,443,51251,52,0.00017714500427246094,702.7,0
17.248.200.67,192.168.0.194,443,51251,52,1.9788742065429688e-05,702.7,0
17.248.200.67,192.168.0.194,443,51252,52,0.0001800060272216797,557.9,0
17.248.200.67,192.168.0.194,443,51253,60,2.2172927856445312e-05,540.2,0
192.168.0.194,17.248.200.67,51253,443,52,1.6927719116210938e-05,540.2,0
192.168.0.194,17.248.200.67,51253,443,569,2.6941299438476562e-05,480.2,0
17.248.200.67,192.168.0.194,443,51253,52,0.0002810955047607422,354.3,0
17.248.200.67,192.168.0.194,443,51253,1500,0.0005910396575927734,387.2,0
17.248.200.67,192.168.0.194,443,51253,1500,4.792213439941406e-05,395.3,0
