src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,is_malicious
17.188.23.25,10.193.107.99,443,57515,1290,0.00015401840209960938,527.9,1239,0
17.188.23.25,10.193.107.99,443,57515,1290,8.082389831542969e-05,527.9,2477,0
17.188.23.25,10.193.107.99,443,57515,337,5.316734313964844e-05,505.6,3715,0
10.193.107.99,17.188.23.25,57515,443,52,4.38690185546875e-05,505.6,518,0
10.193.107.99,17.188.23.25,57515,443,52,3.600120544433594e-05,504.4,518,0
10.193.107.99,104.88.197.211,57514,443,1290,7.295608520507812e-05,627.4,2128,0
10.193.107.99,104.88.197.211,57514,443,344,4.506111145019531e-05,656.6,3366,0
10.193.107.99,17.188.23.25,57515,443,132,3.910064697265625e-05,612.9,518,0
104.88.197.211,10.193.107.99,443,57514,52,0.00023603439331054688,612.9,7761,0
10.193.107.99,17.188.23.25,57515,443,1290,8.296966552734375e-05,612.9,598,0
10.193.107.99,17.188.23.25,57515,443,939,6.103515625e-05,577.8,1836,0
104.88.197.211,10.193.107.99,443,57514,764,6.4849853515625e-05,525.2,7761,0
10.193.107.99,104.88.197.211,57514,443,52,3.600120544433594e-05,496.7,3658,0
17.188.23.25,10.193.107.99,443,57515,339,4.315376281738281e-05,525.4,4000,0
17.188.23.25,10.193.107.99,443,57515,339,4.291534423828125e-05,554.1,4287,0
17.188.23.25,10.193.107.99,443,57515,114,3.600120544433594e-05,436.5,4574,0
10.193.107.99,17.188.23.25,57515,443,52,3.0994415283203125e-05,407.3,2723,0
17.188.23.25,10.193.107.99,443,57515,52,0.0002639293670654297,399.3,4636,0
10.193.107.99,17.188.23.25,57515,443,83,3.910064697265625e-05,402.4,2723,0
17.188.23.25,10.193.107.99,443,57515,83,0.0005538463592529297,281.7,4636,0
10.193.107.99,17.188.23.25,57515,443,52,4.220008850097656e-05,193.0,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0001308917999267578,245.6,4667,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,369.4,5905,0
17.188.23.25,10.193.107.99,443,57515,1290,8.296966552734375e-05,464.5,7143,0
17.188.23.25,10.193.107.99,443,57515,668,5.793571472167969e-05,497.4,8381,0
17.188.23.25,10.193.107.99,443,57515,1290,7.009506225585938e-05,615.0,8997,0
17.188.23.25,10.193.107.99,443,57515,1290,7.581710815429688e-05,738.8,10235,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,862.6,11473,0
17.188.23.25,10.193.107.99,443,57515,1290,7.700920104980469e-05,983.3,12711,0
10.193.107.99,17.188.23.25,57515,443,52,3.409385681152344e-05,980.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.790855407714844e-05,980.2,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00017309188842773438,980.2,13949,0
17.188.23.25,10.193.107.99,443,57515,1290,7.390975952148438e-05,980.2,15187,0
10.193.107.99,17.188.23.25,57515,443,52,3.314018249511719e-05,856.4,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.1948089599609375e-05,794.8,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00024700164794921875,794.8,16425,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,794.8,17663,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0002288818359375,794.8,18901,0
17.188.23.25,10.193.107.99,443,57515,1290,8.106231689453125e-05,794.8,20139,0
17.188.23.25,10.193.107.99,443,57515,1290,7.200241088867188e-05,918.6,21377,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1042.4,22615,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1042.4,23853,0
17.188.23.25,10.193.107.99,443,57515,1290,7.009506225585938e-05,1042.4,25091,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0002410411834716797,1166.2,26329,0
17.188.23.25,10.193.107.99,443,57515,1290,6.985664367675781e-05,1290.0,27567,0
17.188.23.25,10.193.107.99,443,57515,1290,7.700920104980469e-05,1290.0,28805,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,1290.0,30043,0
17.188.23.25,10.193.107.99,443,57515,1290,6.914138793945312e-05,1290.0,31281,0
17.188.23.25,10.193.107.99,443,57515,1290,7.486343383789062e-05,1290.0,32519,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00014400482177734375,1290.0,33757,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,1290.0,34995,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0001819133758544922,1290.0,36233,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1290.0,37471,0
17.188.23.25,10.193.107.99,443,57515,1290,7.295608520507812e-05,1290.0,38709,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1290.0,39947,0
10.193.107.99,17.188.23.25,57515,443,52,3.600120544433594e-05,1166.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.814697265625e-05,1042.4,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.2901763916015625e-05,918.6,2754,0
10.193.107.99,17.188.23.25,57515,443,52,9.298324584960938e-05,794.8,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,794.8,41185,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00042891502380371094,794.8,42423,0
17.188.23.25,10.193.107.99,443,57515,1290,7.390975952148438e-05,794.8,43661,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00023102760314941406,794.8,44899,0
10.193.107.99,17.188.23.25,57515,443,52,3.504753112792969e-05,671.0,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.0994415283203125e-05,547.2,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,6.699562072753906e-05,671.0,46137,0
17.188.23.25,10.193.107.99,443,57515,1290,7.390975952148438e-05,794.8,47375,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00019121170043945312,918.6,48613,0
