src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,header_len,is_malicious
10.193.107.99,17.248.201.73,57837,443,76,3.504753112792969e-05,312.5,1756,52,0
17.248.201.73,10.193.107.99,443,57837,52,1.002331018447876,283.8,7127,52,0
17.248.201.73,10.193.107.99,443,57837,52,5.698204040527344e-05,277.6,7127,52,0
10.193.107.99,17.248.201.73,57837,443,52,0.00010704994201660156,199.0,1781,52,0
17.248.201.73,10.193.107.99,443,57838,52,4.00543212890625e-05,199.0,6683,52,0
17.248.201.73,10.193.107.99,443,57838,573,6.985664367675781e-05,248.0,6683,52,0
10.193.107.99,17.248.201.73,57838,443,52,3.600120544433594e-05,157.9,2269,52,0
10.193.107.99,17.248.201.73,57838,443,91,3.910064697265625e-05,114.3,2269,52,0
10.193.107.99,17.248.201.73,57838,443,76,0.0001049041748046875,116.7,2308,52,0
17.248.201.73,10.193.107.99,443,57838,52,3.409385681152344e-05,112.8,7204,52,0
17.248.201.73,10.193.107.99,443,57838,52,3.0994415283203125e-05,110.4,7204,52,0
10.193.107.99,17.248.201.73,57838,443,52,3.0994415283203125e-05,110.4,2333,52,0
17.253.13.202,10.193.107.99,443,57828,76,1.0022330284118652,112.8,1,52,0
17.253.13.202,10.193.107.99,443,57828,52,5.507469177246094e-05,112.8,25,52,0
17.253.13.202,10.193.107.99,443,57828,52,0.00010895729064941406,112.8,25,52,0
10.193.107.99,17.253.13.202,57828,443,52,4.100799560546875e-05,60.7,1,52,0
10.193.107.99,17.253.13.202,57828,443,76,3.695487976074219e-05,63.1,1,52,0
10.193.107.99,17.253.13.202,57828,443,52,3.0994415283203125e-05,59.2,25,52,0
17.253.13.202,10.193.107.99,443,57828,40,3.2901763916015625e-05,55.6,26,40,0
10.193.107.99,17.57.144.38,57373,5223,92,3.00565505027771,59.6,2618,52,1
17.57.144.38,10.193.107.99,5223,57373,52,5.507469177246094e-05,59.6,882,52,0
17.57.144.38,10.193.107.99,5223,57373,76,4.100799560546875e-05,62.0,882,52,0
10.193.107.99,17.57.144.38,57373,5223,52,5.1021575927734375e-05,59.6,2658,52,0
10.193.107.99,17.248.201.74,57839,443,64,0.0001049041748046875,60.8,0,64,0
17.248.201.74,10.193.107.99,443,57839,60,0.00013709068298339844,61.6,0,60,0
10.193.107.99,17.248.201.74,57839,443,52,3.1948089599609375e-05,61.6,1,52,0
10.193.107.99,17.248.201.74,57839,443,569,5.0067901611328125e-05,110.9,1,52,0
17.248.201.74,10.193.107.99,443,57839,52,3.981590270996094e-05,110.9,1,52,0
17.248.201.74,10.193.107.99,443,57839,1290,7.700920104980469e-05,235.9,1,52,0
10.193.107.99,17.248.201.74,57839,443,52,3.218650817871094e-05,231.9,518,52,0
17.248.201.74,10.193.107.99,443,57839,1290,0.000331878662109375,355.7,1239,52,0
17.248.201.74,10.193.107.99,443,57839,1290,0.00021195411682128906,477.1,2477,52,0
17.248.201.74,10.193.107.99,443,57839,434,7.104873657226562e-05,515.3,3715,52,0
